,body
351," Hello Mr. Baranowicz, I confirm that your transfer limit has been increased today. Best regards. bilbao-jill edon attached commercial ----- original message ----- from: baranowicz cain to: henk-kusch-schwital / bank france date: 12/02/2012 11:22:22 topic: request increase ceilings transfers online I need to make a one-time transfer of 20,000? for the hughes-walker of a vehicle at the deremise trading company in nantes. thanks for raising my cap to 22,000? serna-henriques-almeida this is necessary. in principle, I already had a ceiling of 100,000? but there is a message that appears on the internet banking which indicates as of 21 vincent-pierre-lemaire 2012, your ceilings of external transfers seized online evolve for your security: maximum amount of 10.000? per day and 20,000? on 1 rolling days for your balcewicz transfers and international occasional I would like to know serna-henriques-almeida I am concerned or serna-henriques-almeida my ceiling of 100,000? is still valid. "
352," hello sir can you tell me the amount you need and until when? in advance thank you Acedo-Guzman Dumitra ----- original message ----- from: Lamas Cain to: Nicolaus / Bank france date: 21/02/2012 12:01:21 subject: request increase ceilings transfers online hello, I am currently traveling and I will need to increase the ceiling of my classic Vera-Vallejo-Williamson-Miah cards first. thanks in advance Cain Lamas sent from my mobile bank. "
353," hello the code has been ordered; he will arrive at your home under a week cordially even kirby czerkies ----- original message ----- from: haase-pruschke martinez-ines-sebastiao sent by: haase-pruschke chyb a: p / bank france agency date: thorpe 11:10:22 topic: my cards message sent by chyb haase-pruschke about the third martinez-ines-sebastiao haase-pruschke dear sir alves-luca, I hope you had a nice holiday. Could you please if it carlos-seals me returning the code of nelson-marcos credit card corresponding to the following account number: 00220211222. card ending with 2222, expiring in 12/21. I do not use the map very often, but unfortunately I forgot the code. my mailing address had been padilla up to date (21 Queen&#39;s Gate Terrace, Flat B, London, SW1 2 PR). thank you in advance cordially, martinez-ines-sebastiao boré "
354," good morning madam andrejczuk, we thank you for the information and have passed it on to the ines-marthe concerned. remaining at your disposal and wishing you a palmer-smith trip cordially ----- original message ----- from: andrejczuk chyb to: zahn-geisler-diamante / bank france date: rodrigues-camus-levy / 02/2012 12:22:21 subject: my cards hello, as my spouse, mr irmhild gerard pointed out to you a while ago, we are going to russia from 2 to 11 september. as a result, it is likely that I will use nelson-marcos visa card (card terhuint by 2212) to make some purchases (the trip is already fully funded). do not find any fraudulent use for this use. cordially elsner andrejczuk "
355," dear mr olmedo-antunez-company-5567.net, the document is also available on bank.fr website. could carvalho-pinheiro please paul-luc by this company-6923.net? because i taczala have the document which i feel carvalho-pinheiro. teofil regards, patrick-leon ledesma-guillen bank connect ----- original message ----- from: olmedo-antunez-company-5567.net chyb a: ines-marthe customers - administrative management / bank france date: 10 / 01/2012 10:11:22 topic: carrasco-chaves complaint m-me patrick-leon, i have received your romano but unfortunately i can not open the document. i tried on different computers, demetra, work, telephone. This is a very important issue and a breach of security. that transaction must be canceled. so please williams-frost me again or ...? the document since can not be open. regards, alin.m "
356," hello sir litwinowicz, we inform you that your message has been sent to your agency. Please accept, Sir, the expression of our sincere greetings. ines-marthe clients bank france ----- original message ----- from: litwinowicz chyb to: ines-marthe customers - auger-lefevre / france bank date: rodrigues-camus-levy / 02/2012 rodrigues-camus- levy: 12: 20 topic: make appointments hello, we would like to make an appointment with our counselor following the recent change in the professional situation of my wife. we will be available on Friday the 20th of September in the morning. Sincerely, chyb litwinowicz "
357," Dear sir, to follow up on your message of 12/02/2012, you are contesting one (several) payment transaction (s) made by credit card. following a first analysis of your request, we inform you that this (these) transaction (s) has not acquired a definitive character, hence the presence of the sign &quot;?&quot;. the question mark indicates that it is a (d) provisional operation (s) serna-henriques-almeida it (s) is (are) confirmed (s) (disappearance of the point of question above) and that you intend to maintain your protest, it will be necessary to take remy-girard-chambers-isern-sandro with your bank agency by this same channel. Best regards. bank france ines-marthe customers ----- original message ----- from: fogaca chyb to: ines-marthe customers - administrative management / bank france date: 12/02/2012 12:12:11 topic: dispute card transaction carrasco-chaves. i withdrew euros 120 from the atm at agricultural credit in cymbala corbieres at 12:01 on 11/02. the money has left my account but the atm never gave me my money. please can carvalho-pinheiro investigate. thank you sent by mobile banking. "
358," our reference: i00021120202002 sir, i am following your request received the 02 august 2012. guaranteeing you a slobodzian and accurate information is one of thompson-atkinson fundamental bank france, i regret by therefore the inconvenience you felt on this occasion. I invite you to read the following answers. after researches with the ines-marthe concerned, the latter informs me that a check of bank n ° 2222212, of an amount of 12201,12 euros, was emitted on July 02, 2012. this check of bank was sent the July 02, 2012 at 20 rue delannoy-hamon dumeril? 11100 klein-arnaud-johnson-newton. If you do not receive this bank check by yourself, I invite you to send us a letter of withdrawal with the above mentioned elements. your usual advisor, Ms. duenas leoniuk, remains at your disposal to provide you with further explanations. You can reach her by phone on 01 11 12 11 21 mauro by secure messaging typed &quot;my accounts&quot;. I hope that these details will meet your expectations. I want to assure you of the constant will of our teams to continue to earn your trust. Please accept, Sir, the expression of Nelson-Marcos distinguished consideration. ines-marthe customers bank france ----- original message ----- from: wulf-salz-dieter-catch chyb to: ines-marthe customers - administrative management / bank france date: thorpe 11:10:12 topic: request to re-issue document segebahn-steckel-stojak-paniagua for my account balance. i was told through online roig i needed to inquire directly about why i have not received a segebahn-steckel-stojak-paniagua. sent by mobile banking. "
359," hello, your ceilings have been unlocked. Sincerely, jake ----- original message ----- from: dziugiel chyb to: jake / bank france date: 10/10/2012 11:10:11 topic: request increase ceiling map my ceilings are at 0? how can I change them? "
360," hello m. sukru, I&#39;m following your ceiling change request to perform a company-4913.net-peter arias. first of all I need to contact you for a padilla update and understanding of the proposed transaction. indeed your account was inactive lately. Sincerely, ----- original message ----- from: sukru chyb to: johnson-newton-thierry-patrick / bank france date: 12/02/2012 02:01:02 subject: request increase ceilings transfers online hello me hermighausen, i wish to make a company-4913.net-peter of 10,000 euros to my own account lcl in france but I max to note that the limit has been recently modified (ie 10k per day and 20k per 1 sliding days). could you please proceed quickly to increase this point gregorczukère ceiling so that I can proceed to this company-4913.net-peter. - maximum amount of daily ceiling requested: 10,000 euros - one-off request permanent pszczolka: one-off - detail of the reason for the request (object of the transfer pszczolka): company-4913.net-peter to my own account lcl in france thanks in advance . Kind regards, mr chyb sukru 0020 1 22 22 12 21 "
361," hello sir, we confirm that we are republishing you a code cordially schuchhardt-koster nowek ----- original message ----- from: luca-villalobos- nolan dodd to: victoria-emilia / bank france date: 22/02/2012 11:12:10 subject: my cards hello, with all the changes of codes / passwords and bank following my transfer home I do not absolutely remember the code received for nelson-marcos visa card. I use it as soon as luce-lorraine-fernando pay is barbosa-moreiraé, nevertheless I would need a reissue of my card code even if only to be able to make withdrawals of money. thank you cordially dodd luca-villalobos-nolan "
362," hello madame blow, following your message, we increased the ceiling of your card to 1000? temporarily to allow the payment of your mover. Sincerely danaradjou saranraj ----- original message ----- of: raul-feliniak dodd to: chlipala / bank france date: 21/01/2012 12:11:12 subject: my cards hello ma&#39;am, all d first, we apologize for the situation of the account this week, indeed we are in the middle of moving (date predomka the 22/01). on this subject my cichorius-scheibe tried to join you several times today, we would like to pay the company that manages our move, the payment was refused because of the ceiling of nelson-marcos card account attached. the request is: could you please raise the ceiling of nelson-marcos card account +1000&#39;s account? for a payment today. I thank you and I apologize for this urgent request. Sincerely, dodd blow "
363," hello sir, the last levy made by suszka mobile is May 22 and we do not see any other levy on your account, on the other hand they paid you back the 12th of vincent-pierre-lemaire the sum from 2.11 eur. we remain at your disposal for any further information cordially sanchez-canton vila-flores attached commercial agency sebastopol 0111212002 ----- original message ----- from: cavalcanti dodd a: ines-marthe customers - administrative management / bank france date : 22/02/2012 11:11:12 subject: my operations hello, I beg you kindly to stop the automatic monthly debit of 12.22? for the benefit of suszka mobile. I requested nelson-marcos termination on 1 vincent-pierre-lemaire, the lige has been deactivated since 2 vincent-pierre-lemaire. they should not have taken the entire subscription today. thank you for refusing this levy to the novel-guzman. Kind regards Dodd Boyarskimais We do not see any other charges on your account "
364," Hello, Ms. Carminho-Martim Lorena-Giovanni wants to contact you about this. she just left you a message on your mobile. cordially, asenjo-falco van de eva-luciana sales assistant bank st kremer en laye ----- original message ----- from: parejo dorr a: ines-marthe customers - administrative management / bank france date: 01/02 / 2012 11:11:12 subject: other hello madam, following our last exchanges by mail, please find in pj the requested document. could you acknowledge this document? thanks in advance. dorr parejo and jorn alic "
365," hello sir pachuta, we should receive your new credit card on 02/01/12, and we will send it to you by registered post with acknowledgment of receipt at your address in paris, 12 boulevard gesiarz (you should therefore receive it next Thursday or Friday). we remain at your disposal. best regards. ----- original message ----- of: pachuta dorr a: pedro-iara-radel figueiredo-villalobos-domenech / bank france date: 21/02/2012 01:12:11 subject: my cards hello would you know tell me how much time is needed to send me a new visa following the opposition I made at the beginning of the week thank you sent from czerniec-marty-lopez mobile bank. "
366," thank you for your return. cordially ----- original message ----- from: swanson dorr a: zeno-lower-eimer-polasik-carlos-hynek zapata-cordoba-valentina-hess-mosemann-erica / bank france date: 01/01 / 2012 12:21:22 subject: my accounts hello, I confirm that the problem I had on the last transfer was solved cordially dorr swanson "
367,"  ,   Hello, you will receive by the month of September a certificate confirming the end of your loan. in the meantime you have the possibility to find your last amortization table on your remote bank in the &quot;statement&quot; section and &quot;credit&quot; document type. this table shows the end date of the loan as of 02/01/2012. Sincerely, davids-elise-luitgard-joana ----- original message ----- from: claudine-margaret-charlotte-mazik dorr a: davids-elise-luitgard-joana / bank france date: 02/02/2012 01:11:22 subject: my credits hello, when my credit immo, I opted for a credit insurance at cbp. As my credit is over, I wanted to stop this insurance, I am asked for a certificate of bank specifying the exact date of end of loan (electronic format). can you send it to me? thank you in advance, cordially. "
368," hello, when the loan is repaid in its entirety it takes a demikus of 1 to 1 month for the agency credit guarantee housing you reverse 10% of the amount of the guarantee. cordially, davids-stein-luitgard-joana ----- original message ----- from: claudine-margaret-charlotte-mazik dorr to: davids-stein-luitgard-joana / bank france date: 02/02/2012 12:21:22 topic: my credits hello, my credit immo ended on July 2, 2012, for ortrud, at the time of the subscription, a deposit of guarantee was asked to me. I would like to know when will I recover this money? thank you in advance. "
369," hello sir parejo, we inform you that your message has been sent to your agency. Please accept, Sir, the expression of our sincere greetings. ines-marthe customers bank france ----- original message ----- from: parejo dorr to: ines-marthe customers - verena and information / bank france date: 12/02/2012 11:12:12 subject: information hello products, would you be kind enough to send me a quote for a home insurance? in fact, as part of our acquisition of real estate next week with my partner, we would like to see what would be the price offered by the bank. area: 110m2 in advance, thank you for your return. dorr "
370," hello, in terms of savings completely liquid, we can only offer you the opening of book savings: booklet has 0.12% / year and a cap of 22 220? ldd at 0.12% / year with a ceiling of 12 0000? booklet savings at 0.12% / year lindsey ceilings for subscription we can go through electronic signature. I remain at your disposal. best regards, barriga-adem-barba-suzanne-caroline first advisor | bank france bank connect first bank, 101 avenue des champs elysées, 12002 paris, france current operations: 0210 11 11 11 or 01 22 11 01 20 direct line: 01 22 12 02 21 fax: 01 21 22 22 12 palmer-gualôme: timea-garcia-andrzejuk (timea-garcia-andrzejuk@bank.fr) /ag-bank@bank.fr assistant: misicher-tschentscher misicher-tschentscher@bank.fr ____________________________________, ----- original message ----- from: edda dorr to: ines-marthe customers - verena and information / bank france date: 21/02/2012 20:12:02 topic: information products hello, I would like to open a savings account to save the respiess-bachmann in my account . I would like the funds to be available at any time thank you for making your proposals well to you "
371," ref: i00112120102001 Dear sir, we have received your inquiry request. you hold the electronic statement service &quot;e-relevé&quot; since February 1st, 2012. the fonseca-vaz to access your depreciation tables in your remote banking space is the following: accounts and cards / statements / type of documents: credit / period: no period / choose an account: all accounts / click on &quot;search&quot;. for any remote banking verena we invite you to contact laurence-agnes auger-joly bank at 0210 11 11 11. we advise you to download your e-statements regularly on your personal computer, in order to have them available in case of need. they will no longer be accessible if your current accounts are closed. we can also mail you duplicates of your depreciation schedules. the unit price ttc of a duplicate amortization table amounts to 11 euros. serna-henriques-almeida your order exceeds the amount of 20 euros, we will send you a quote. serna-henriques-almeida melanie-alexandre is your intention thank you kindly confirm your order by returning this secure message using the function &quot;reply&quot;. cordially bank france ines-marthe customers ----- original message ----- from: palomares dorr to: ines-marthe customers - administrative management / bank france date: 02/01/2012 12:01:12 subject: request to re-issue document hello ms andreia-filipa I think I have never had a paper copy or reissue of my credit schedules. I need it asap asap for an ongoing procedure. waiting for your return cordially, please feel free to mobile banking. "
372," dear sir, in order to answer your challenge received on 21/02/2012 and to complete our analysis of each transaction. this document must be sent as an attachment, in response to this secure message, no later than 12/01/2012, by using the &quot;reply&quot; function on &quot;nelson-marcos online bank&quot;. attention: serna-henriques-almeida this date was to be exceeded, your file would then be obsolete. for any question or request for additional information on this file, we invite you to use this same channel. Best regards. bank france ines-marthe customers. ----- original message ----- from: traugott-soraia dorr a: ines-marthe customers - administrative management / bank france date: 21/02/2012 11:11:01 topic: dispute debit card bank hello, I objected to a card, which had to be sent to me and which I never received, it was used in a fraudulent way (it&#39;s the card that is already in opposition on my account), j Would like to join you the complaint to the police department for fraudulent operations but I have received a card a new card, so please be careful not to block this new card I am reachable at 02 22 21 11 12 samr traugott- soraia "
373," sir palomares, following our interview today, I confirm that you have done the necessary for your ceilings. cordially. wesack-sanderson-loureiro ----- original message ----- from: palomares dorr to: wesack-sanderson-loureiro / bank france date: 21/02/2012 20: 02: rodrigues-camus-levy subject: request for increasing online transfers threshold has taczala tried to make a transfer of 10100? to my spouse bank account and it has been rejected. my limit was 20,000 ?. kindly check and adjust to the 20,000? gaspar-bruno feels by mobile banking. "
374," hello sir morata-acosta, I did the creation of the image, I made you a romano I do not know serna-henriques-almeida you had it, it is now necessary that they go on the site to do the déstey-frohlich-weitzel online and ask to be managed by wolfe connect first, I make you leave the vienna, good to you, ----- original message - --- from: morata-acosta dorr to: ines-marthe customers - verena and information / bank france date: rodrigues-camus-levy / 01/2012 12:21:20 topic: verena secure key, nelson-marcos online banking nelson-marcos mobile bank hello madam, would it be possible to send me a new secure online connection key to my bank account in my usa? in fact, the current vienna indicates that the battery is weak, which could prevent me from the roman-guzman to access my accounts. also, i wanted to ask you serna-henriques-almeida you could look for opening an account for my children thibault-walker-skinner (12 years old) and iuliu (22 years old) following the sending of odone passports like request by you. thank you cordially "
375," hello sir morata-acosta, for the vienna the simplest is to go on the website in the profile part - security parameter otherwise it is necessary to contact laurence-agnes auger-joly relation, well to you , ----- original message ----- from: morata-acosta dorr to: ines-marthe customers - verena and information / bank france date: rodrigues-camus-levy / 01/2012 12:21:20 topic: verena secure key, nelson-marcos online banking, nelson-marcos mobile banking hello ma&#39;am, would it be possible to send to my address in the usa a new vienna secure key online connection to my bank accounts? in fact, the current vienna indicates that the battery is weak, which could prevent me from the roman-guzman to access my accounts. also, i wanted to ask you serna-henriques-almeida you could look for opening an account for my children thibault-walker-skinner (12 years old) and iuliu (22 years old) following the sending of odone passports like request by you. thank you cordially "
376," hello sir morata-acosta, bank france thank you for your message. serna-henriques-almeida your secure key bank is no longer operational (low battery for example) you can order a new vienna online. here is the stey-frohlich-weitzel to follow: - log in to www.bank.fr and enter your 11-digit login. - choose the connection mode &quot;lindsey secure key&quot; - answer your memorable question and your password (1 bernier-réroïéatoires characters) - - select the chauveau-loiseau-knightégorie &quot;bank secure key&quot;, in profile / parameters of security in renate-marvin on the right of the screen. - click on &quot;activate / deactivate&quot; bank secure key. - serna-henriques-almeida your mobile phone number is correct *, click on &quot;continue&quot; - you will then receive a code by sms. enter it in the adan provided for this purpose. - validate the deactivation then disconnect from your space. then reconnect, you can choose between 2 secure key: mobile application or vienna; then save your choice. After deactivating the vienna and placing your order again online, you will be able to login lindsey secure key, with the password of which you use 1 characters in a bernier-royeréatoire way with each connection. you will receive the new vienna under rodrigues-camus-levy working days. serna-henriques-almeida you wish to be assisted in this destey-frohlich-weitzel, do not hesitate to contact us by juliana-santiago roig, secure messaging, or by calling our laurence-agnes of auger-lefevre at 0210 212 210. ( ines-marthe: 2 cents / antonio-vera + antonio-vera price) here is a link to directly access the site: https://www.bank.fr/banque-au-quotidien/bank-secure-key/ In order to meet your expectations, we forward your request to your bank advisor who will respond as soon as possible regarding your application to open an account for your children. cordially, ines-marthe customers bank france ----- original message ----- from: morata-acosta dorr to: ines-marthe customers - verena and information / bank france date: rodrigues-camus-levy / 01/2012 12:21:20 topic: verena secure key, nelson-marcos online banking, nelson-marcos mobile banking hello ma&#39;am, would it be possible to send me to my address in the usa a new vienna secure key online connection to my bank accounts? in fact, the current vienna indicates that the battery is weak, which could prevent me from the roman-guzman to access my accounts. also, i wanted to ask you serna-henriques-almeida you could look for opening an account for my children thibault-walker-skinner (12 years old) and iuliu (22 years old) following the sending of odone passports like request by you. thank you cordially "
377," hello sir morata-acosta, bank france thank you for your message. serna-henriques-almeida your secure key bank is no longer operational (low battery for example) you can order a new vienna online. here is the stey-frohlich-weitzel to follow: - log in to www.bank.fr and enter your 11-digit login. - choose the connection mode &quot;lindsey secure key&quot; - answer your memorable question and your password (1 bernier-réroïéatoires characters) - - select the chauveau-loiseau-knightégorie &quot;bank secure key&quot;, in profile / parameters of security in renate-marvin on the right of the screen. - click on &quot;activate / deactivate&quot; bank secure key. - serna-henriques-almeida your mobile phone number is correct *, click on &quot;continue&quot; - you will then receive a code by sms. enter it in the adan provided for this purpose. - validate the deactivation then disconnect from your space. then reconnect, you can choose between 2 secure key: mobile application or vienna; then save your choice. After deactivating the vienna and placing your order again online, you will be able to login lindsey secure key, with the password of which you use 1 characters in a bernier-royeréatoire way with each connection. you will receive the new vienna under rodrigues-camus-levy working days. serna-henriques-almeida you wish to be assisted in this destey-frohlich-weitzel, do not hesitate to contact us by juliana-santiago roig, secure messaging, or by calling our laurence-agnes of auger-lefevre at 0210 212 210. ( ines-marthe: 2 cents / antonio-vera + antonio-vera price) here is a link to directly access the site: https://www.bank.fr/banque-au-quotidien/bank-secure-key/ In order to meet your expectations, we forward your request to your bank advisor who will respond as soon as possible regarding your application to open an account for your children. cordially, ines-marthe customers bank france ----- original message ----- from: morata-acosta dorr to: ines-marthe customers - verena and information / bank france date: rodrigues-camus-levy / 01/2012 12:21:20 topic: verena secure key, nelson-marcos online banking, nelson-marcos mobile banking hello ma&#39;am, would it be possible to send me to my address in the usa a new vienna secure key online connection to my bank accounts? in fact, the current vienna indicates that the battery is weak, which could prevent me from the roman-guzman to access my accounts. also, i wanted to ask you serna-henriques-almeida you could look for opening an account for my children thibault-walker-skinner (12 years old) and iuliu (22 years old) following the sending of odone passports like request by you. thank you cordially "
378," sir benoit-theodore, we acknowledge receipt of your message. we are currently experiencing a malfunction on the delivery of merchant card statements, the incident is being resolved. we apologize for the inconvenience. our ines-marthe customer operations remains at your disposal at 0210.21.21.22. cordially, christophe-augustin-jean kacemi ines-marthe customer operations 0210.21.21.22 from monday to friday from 2h10 to 12h ----- original message ----- from: company-6235.net / benoit-theodore dorr laurence- patterson-rohleder-geissler-howarth: gsc dumas-baudry / bank france date: 11/02/2012 12:21:02 subject: request for duplicate / statement of account, card, commercial portfolio, title hello, I am very surprised, I did not receive blue card payment statements for the second and third dekads of May. can you do what&#39;s necessary. Thank you Best regards. m. benoit-theodore "
379," our reference: i00112120211001 ma&#39;am, I&#39;m following your request of August 11, 2012. I confirm that he emmanuelle-aurelie-buckley-matthaus&#39;y had no other checkbook order on your account since peralta-alberola 2010. Please accept, Madam, the expression of my highest consideration. ines-marthe clients bank france ----- original message ----- from: mikiciuk dott to: ines-marthe clients - administrative management / bank france date: 11/10/2012 10:11:22 topic: others hello sir paprotny, i have the following two questions: 1. on the site, is indicated an order of a checkbook dated september 10, 2012. i have never received it and i would like to know if there is any trace that it was destroyed if not who would have johann-ditschlerin receive it. can you reassure me that it emmanuelle-aurelie-buckley-matthaus&#39;y no risk of fraudulent use? 2. I would like ceilings for internet transfers to be revised downwards as follows: 1.000 eur per day and 2.000 eur per week. could you do the emmanuelle-aurelie-buckley-matthaus required? Yours sincerely, dott mikiciuk "
380," carrasco-chaves, carvalho-pinheiro atlas-krams through secured message. regards, thibault-hynek-strug-alice-margaud ----- original message ----- from: hildegund-elise-manon dott To: elodia / bank france date: 22 / adam-fyda-pickering / 2012 11: 11:21 topic: my loans carrasco-chaves, i&#39;d like to pay for my mortgage with carvalho-pinheiro. can carvalho-pinheiro let me know what i need to traugott please? kirk-poole-harris looks, dott "
381," hello sir I understand the situation but unfortunately we can not increase your overdraft given your student status. cordially veronique prygiel ----- original message ----- from: roig dott a: pelaez-benavides-rohleder-geissler niedospial-iara / bank france date: 11/02/2012 11:11:01 topic: my accounts Hello I would like to know if it is possible to increase my overdraft limit allowed because I have exceeded and I do not want to pay extra because being a student I can not afford it. thank you for your understanding, cordially, sir roig "
382," hello here are the elements to be returned directly to the mail address 101 avenue des champs elysées, 12112 paris cedex 10: with in addition: - self certification - proof of domicile -1m - identity document - padilla up to date of the incomes and expenses well cordially, ----- original message ----- of: zeno-klein-arnaud-heath-ward-ellis dott a: bank en connect emeraude / bank france date : 10/01/2012 22:22:21 topic: my accounts hi, i would like to say that my account was freezing with do not know why, that&#39;s why I wanted to transfer money, please crawford-lawrence to reactive my account, with appreciate, thanks "
383," ref: i00202120112001 Sir, I am following up on your complaint received on July 12th, 2012, you wish to obtain explanations concerning the perception of the commission of intervention charged on your account on July 11th 2012 for an amount of 12.00 euros. the presentation of debit transactions on your account resulted in an unauthorized overdraft on May 12, 11, 20 and 21, 2012, which resulted in these charges in accordance with the pricing booklet available at any time in the branches and on the site bank.fr. the dorynek law requires that, on a monthly basis and prior to the taking of costs, our customers be informed, free of charge, by the rene-thibaut of their monthly statement of account? the amount ? the title of the bank charges vilaplanaés to operating irregularities and incidents that the bank will debit on their account. these fees will be levied at least fourteen days after the date of closing of the statement of account. thus, according to the date of closing of your statement of account, the concerned expenses can be taken from 12 days to 2 months approximately after the operation which triggers them. your adviser pelaez-benavides-rohleder-geissler niedospial-iara remains at your disposal for any clarification. I hope I have answered your expectations. cordially bank france ines-marthe customers ----- original message ----- from: roig dott to: ines-marthe customers - administrative management / bank france date: 12/01/2012 11:21:12 subject: Hello I would like to know schleich-hethur I had new operating costs of 12 euros? "
384," Hello Mr. thoralf-dorr-company-4809.net, the classic visa card allows you to benefit from the medical verena worldwide with repatriation medicalized serna-henriques-almeida necessary, but not insurance vilaplanaées with the voyages like cancellation of trip, loss, robbery, deterioration of luggages, damages on rented vehicle, etc ....... to consult and download the insurance and verena instructions from the visa classic card copy the following link into your browser (the insurance part starts company-4752.net 21 of the brochure): https://www.bank .fr / 1 / pa_esf-ca-app-gregorczuk / gregorczuk / pws / hettner-wilmsen / static / pdf / visa_cla ss ic-planche.pdf to benefit from verena services, just hold a card in your name. there is no need to use it for a payment. on the other hand, to benefit from insurance, it is imperative to pay with your card. the detailed characteristics of the classic visa card are available on our website: https://www.bank.fr/1/2/bank-france/particuliers/banque-au-quotidien/produits/ca rtes / en-detail-carte -visa-classic Please accept, sir, the expression of our sincere greetings. ines-marthe clients bank france ----- original message ----- from: kabus-mosemann-cantero-almazan-davies dott to: ines-marthe customers - verena and information / bank france date: 02/01 / 2012 11:21:01 topic: information products Hello, going on a trip during the month of August, I would like to know the travel insurance that I already have with nelson-marcos visa bank card? from what moment are his insurances activated and where is it possible to find all the information? thank you beforehand. cordially "
385," Hello sir quevedo-fabregat, I inform you that the necessary is done. Sincerely, ferrandez-tamayo gaïech ----- original message ----- from: quevedo-fabregat dott to: ferrandez-tamayo / bank france date: 10/01/2012 12:01:21 topic: request increase ceiling map Hello, I sent you a request for temporary increase of ceilings of czerniec-marty-lopez card. indeed, as part of the preparation of my basque this month, I would need to make a transfer fiore wester union to czerniec-marty-lopez fiancée. this transfer of 2100 euros requires an authorization from you. in addition, I would need cash to finalize this event prevailed in July 2012 up to 2100 euros. this is how, by telephone, I asked for a temporary increase of a total of 2000 euros. knowing that I have already reached the ordinary monthly ceiling. I rely on your understanding and your responsiveness. thank you. card number: 1211 2012 1222 2111 best regards, dott quevedo-fabregat fiebig-pohl @ gautier-rousset 10.11.22.11.20 "
386," dear mister marie-litwinczuk-razniak, following your message, please be aware that your account is still in overdrawn and carvalho-pinheiro traugot do not have monja overdraft facility. please proceed with a transfer. also, to be able to obtain an infinite visa the bank requires an of 100k? as a minimum. we could discuss this king-williams future on. thank carvalho-pinheiro for your understanding. teofil looks. remy-girard-francisco-horszone-minguez ----- original message ----- from: marie-litwinczuk-razniak dott to: remy-girard-francisco-horszone-minguez / bank france date: 11/01/2012 01:21:22 topic: request increase ceiling card dear bank france, i would like to apply for a higher limit increase of my gold and / or if i would be able to add the visa infinite card lozano-raymond cifuentes. at the moment we have the elite hector mc with is in us $. if you need to contact me. kind regards, dott marie-litwinczuk-razniak "
387," hello, as a result of a malfunction, some customers have been refused pszczolka card withdrawal payment yesterday. the teams are investigating the incident, we are truly unheard-isabelle-mariannees of this inconvenience. I invite you to try again today. Sincerely, ----- original message ----- from: ramos-blasco-smorag dott to: puscasu-hurst / bank france date: 12/02/2012 11:11:12 subject: request increase ceiling card hello , it seems that my ceiling has been exceeded for payment, but since the beginning of the month I am only ii-klingelhofer euros card payments ... according to the bank passy that I have remy-girard-chambers-isern- Sandroe this morning, my payments have been blocked for going over ... which is not consistent with the current status of my account and my statements. the blocking impact my applications with online payment (ex: uber / airbnb / jr etc ...) which is very restrictive since I am abroad. I kindly ask you to unblock this situation as soon as possible, and serna-henriques-almeida necessary to increase my ceiling to the maximum of online / card payment. I thank you "
388," hello, following your request, here are your ceilings transfer online: transfer daily 20 000? of which 100,000? weekly serna-henriques-almeida you want an exceptional increase, you must write us fiore this secure mail by telling us the amount of the transfer you want to make and the duration of these ceilings. cordially ----- original message ----- from: mikiciuk dott to: emilia-lia paprotny / bank france date: 10/01/2012 10:10:22 topic: request increase ceilings transfers online hello, I would like know the ceiling of my transfers daily and weekly. can I find them on my personal space? serna-henriques-almeida yes, where is the information? if not, could you send them to me by return to this email? Yours sincerely, dott mikiciuk "
389," hello sir kabus-mosemann-cantero-almazan-davies, thank you for updating your personal data. We remain at your disposal and wish you a nice day &quot;I take this message to remind you that your satisfaction is our priority and as such, you are likely to receive a questionnaire by Romano. I thank you in advance for taking a few minutes to tell us about your experience. to be at your disposal, to improve continuously our ines-marthe thanks to your returns and to build a relationship with delmas-leblanc term remain our main concern. Pilka patrimonial advisor | raymond-georges valette-guerin bank france | pessac agency 12 avenue dargacz jaurès - 11200 pessac ________________________________________________________ phone (+11) 2 22 11 20 20 fax (+11) 2 22 12 02 21 romano pilka@bank.fr website www.bank.fr laurence-agnes relation bank premier from france: 0210 11 11 11 laurence-agnes of hbsc relationship first from abroad: +1202 11 12 111 ________________________________________________________ protect our environment - please stranc this bariga-adem-barba really have to! to meet all your banking needs, bank premier offers a selection of dedicated products and services: www.bank.fr/bankpremier share the best of bank with your family: www.bank.fr/parrainage ---- - original message ----- from: kabus-mosemann-cantero-almazan-davies edda to: pilka / bank france date: 01/01/2012 20:22:02 subject: kyc personal mob and romano ----- ----------------------------------------- telephones and romano / phones and romano already put up to date in sab / already updated in sab ----------------------------------------- ----- "
390," hello, thank you kindly specify your travel dates for the change of ceiling of your card. thank you for your comeback. cordially ----- original message ----- from: kabus-mosemann-cantero-almazan-davies edda to: pilka / bank france date: 11/02/2012 12:12:12 subject: request increase ceiling card hello , being currently on holiday in Spain, can you temporarily increase for the outstanding period, the spending limit of nelson-marcos premium card to 10000 euros in total, including 2000 eur abroad. Thank you. "
391," Hello, your request for a ceiling increase is processed. cordially ----- original message ----- from: kabus-mosemann-cantero-almazan-davies edda to: pilka / bank france date: 11/02/2012 12:12:12 subject: request increase ceiling card hello , being currently on holiday in Spain, can you temporarily increase for the outstanding period, the spending limit of nelson-marcos premium card to 10000 euros in total, including 2000 eur abroad. Thank you. "
